20:17:16.143 [main] INFO  api.test.UserTests - **************Creating user***********
20:17:19.986 [main] INFO  api.test.UserTests - **************user is created***********
20:17:20.027 [main] INFO  api.test.UserTests - **************read user***********
20:17:21.403 [main] INFO  api.test.UserTests - ************** user details we got***********
20:17:21.411 [main] INFO  api.test.UserTests - **************Updating user***********
20:17:22.717 [main] INFO  api.test.UserTests - **************user updated***********
20:17:24.050 [main] INFO  api.test.UserTests - **************deleting user***********
20:17:25.328 [main] INFO  api.test.UserTests - **************user deleted***********
13:21:38.769 [main] INFO  api.test.UserTests2 - **************Creating user***********
13:21:43.056 [main] INFO  api.test.UserTests2 - **************user is created***********
13:21:43.071 [main] INFO  api.test.UserTests2 - **************read user***********
13:21:44.445 [main] INFO  api.test.UserTests2 - ************** user details we got***********
13:21:44.462 [main] INFO  api.test.UserTests2 - **************Updating user***********
13:21:45.840 [main] INFO  api.test.UserTests2 - **************user updated***********
13:21:47.210 [main] INFO  api.test.UserTests2 - **************deleting user***********
13:21:48.490 [main] INFO  api.test.UserTests2 - **************user deleted***********
14:04:14.285 [main] INFO  api.test.UserTests2 - **************Creating user***********
14:04:18.131 [main] INFO  api.test.UserTests2 - **************user is created***********
14:04:18.149 [main] INFO  api.test.UserTests2 - **************read user***********
14:04:19.567 [main] INFO  api.test.UserTests2 - ************** user details we got***********
14:04:19.573 [main] INFO  api.test.UserTests2 - **************Updating user***********
14:04:20.947 [main] INFO  api.test.UserTests2 - **************user updated***********
14:04:22.347 [main] INFO  api.test.UserTests2 - **************deleting user***********
14:04:23.659 [main] INFO  api.test.UserTests2 - **************user deleted***********
14:17:17.598 [main] INFO  api.test.UserTests2 - **************Creating user***********
14:17:21.807 [main] INFO  api.test.UserTests2 - **************user is created***********
14:17:21.822 [main] INFO  api.test.UserTests2 - **************read user***********
14:17:23.075 [main] INFO  api.test.UserTests2 - ************** user details we got***********
14:17:23.080 [main] INFO  api.test.UserTests2 - **************Updating user***********
14:17:24.302 [main] INFO  api.test.UserTests2 - **************user updated***********
14:17:25.531 [main] INFO  api.test.UserTests2 - **************deleting user***********
14:17:26.758 [main] INFO  api.test.UserTests2 - **************user deleted***********
17:08:21.212 [main] INFO  api.test.UserTests2 - **************Creating user***********
17:08:25.289 [main] INFO  api.test.UserTests2 - **************user is created***********
17:08:25.311 [main] INFO  api.test.UserTests2 - **************read user***********
17:08:26.573 [main] INFO  api.test.UserTests2 - ************** user details we got***********
17:08:26.576 [main] INFO  api.test.UserTests2 - **************Updating user***********
17:08:27.732 [main] INFO  api.test.UserTests2 - **************user updated***********
17:08:28.910 [main] INFO  api.test.UserTests2 - **************deleting user***********
17:08:30.147 [main] INFO  api.test.UserTests2 - **************user deleted***********
17:20:23.314 [main] INFO  api.test.UserTests2 - **************Creating user***********
17:20:28.576 [main] INFO  api.test.UserTests2 - **************user is created***********
17:20:28.595 [main] INFO  api.test.UserTests2 - **************read user***********
17:20:29.881 [main] INFO  api.test.UserTests2 - ************** user details we got***********
17:20:29.887 [main] INFO  api.test.UserTests2 - **************Updating user***********
17:20:31.117 [main] INFO  api.test.UserTests2 - **************user updated***********
17:20:32.363 [main] INFO  api.test.UserTests2 - **************deleting user***********
17:20:33.645 [main] INFO  api.test.UserTests2 - **************user deleted***********
10:06:28.026 [main] INFO  api.test.UserTests2 - **************Creating user***********
10:06:32.090 [main] INFO  api.test.UserTests2 - **************user is created***********
10:06:32.107 [main] INFO  api.test.UserTests2 - **************read user***********
10:06:33.563 [main] INFO  api.test.UserTests2 - ************** user details we got***********
10:06:33.567 [main] INFO  api.test.UserTests2 - **************Updating user***********
10:06:35.086 [main] INFO  api.test.UserTests2 - **************user updated***********
10:06:36.570 [main] INFO  api.test.UserTests2 - **************deleting user***********
10:06:38.060 [main] INFO  api.test.UserTests2 - **************user deleted***********
10:08:28.592 [main] INFO  api.test.UserTests2 - **************Creating user***********
10:08:32.708 [main] INFO  api.test.UserTests2 - **************user is created***********
10:08:32.720 [main] INFO  api.test.UserTests2 - **************read user***********
10:08:34.072 [main] INFO  api.test.UserTests2 - ************** user details we got***********
10:08:34.078 [main] INFO  api.test.UserTests2 - **************Updating user***********
10:08:35.518 [main] INFO  api.test.UserTests2 - **************user updated***********
10:08:36.848 [main] INFO  api.test.UserTests2 - **************deleting user***********
10:08:38.160 [main] INFO  api.test.UserTests2 - **************user deleted***********
